Attack_method,IP,Times,URL,Status
4,112.126.68.169,24/Apr/2018:05:29:22,/,302
4,112.126.68.169,24/Apr/2018:05:29:22,/index.do,200
4,112.126.68.169,24/Apr/2018:05:29:23,/,302
4,112.126.68.169,24/Apr/2018:05:29:23,/index.do,200
4,183.60.208.226,24/Apr/2018:22:25:39,/,302
4,183.60.208.226,24/Apr/2018:22:25:38,/is_test,404
4,183.60.208.226,24/Apr/2018:22:25:41,/index.do,200
4,183.60.208.226,24/Apr/2018:22:25:37,/jboss.css,404
4,183.60.208.226,24/Apr/2018:22:25:38,/axis2,404
4,183.60.208.226,24/Apr/2018:22:25:38,/console/css/login.css,404
4,183.60.208.226,24/Apr/2018:22:25:37,/,302
4,183.60.208.226,24/Apr/2018:22:25:39,/index.do,200
4,183.60.208.226,24/Apr/2018:22:25:37,/index.do,200
4,183.60.208.226,24/Apr/2018:22:25:39,/resource/js/cj.js,404
4,183.60.208.226,24/Apr/2018:22:25:41,/is_test,404
3,58.48.189.166,24/Apr/2018:04:43:05,/certs/import_ssc_cert.zip,200
3,58.48.189.166,23/Apr/2018:18:57:46,/certs/import_ssc_cert.zip,200
3,58.48.189.166,24/Apr/2018:12:04:40,/certs/import_ssc_cert.zip,200
3,58.48.189.166,24/Apr/2018:04:32:14,/certs/import_ssc_cert.zip,200
3,58.48.189.166,24/Apr/2018:00:26:15,/certs/import_ssc_cert.zip,200
3,58.48.189.166,24/Apr/2018:20:14:59,/certs/import_ssc_cert.zip,200
3,58.48.189.166,24/Apr/2018:08:21:09,/certs/import_ssc_cert.zip,200
3,58.48.189.166,24/Apr/2018:00:35:03,/certs/import_ssc_cert.zip,200
3,58.48.189.166,24/Apr/2018:12:04:41,/certs/import_ssc_cert.zip,200
3,58.48.189.166,24/Apr/2018:05:31:01,/certs/import_ssc_cert.zip,200
8,5.188.10.246,24/Apr/2018:15:07:31,/struts-cookbook/processSimple.do,404
8,5.188.10.246,24/Apr/2018:01:33:38,/struts-cookbook/processSimple.do,404
8,5.188.10.246,24/Apr/2018:04:12:35,/struts-cookbook/processSimple.do,404
3,218.25.49.226,24/Apr/2018:12:13:18,/certs/import_ssc_cert.zip,200
3,218.25.49.226,23/Apr/2018:19:02:29,/certs/import_ssc_cert.zip,200
3,218.25.49.226,23/Apr/2018:19:11:01,/certs/import_ssc_cert.zip,200
3,218.25.49.226,24/Apr/2018:20:10:09,/certs/import_ssc_cert.zip,200
3,218.25.49.226,24/Apr/2018:04:35:43,/certs/import_ssc_cert.zip,200
3,218.25.49.226,24/Apr/2018:00:23:05,/certs/import_ssc_cert.zip,200
3,60.12.225.166,24/Apr/2018:08:24:29,/certs/import_ssc_cert.zip,200
3,60.12.225.165,24/Apr/2018:05:31:32,/certs/import_ssc_cert.zip,200
3,60.12.225.165,24/Apr/2018:12:09:59,/certs/import_ssc_cert.zip,200
3,60.12.225.165,24/Apr/2018:05:31:31,/certs/import_ssc_cert.zip,200
3,115.238.55.22,24/Apr/2018:20:04:13,/certs/import_ssc_cert.zip,200
3,115.238.55.22,24/Apr/2018:08:32:08,/certs/import_ssc_cert.zip,200
2,12.193.249.252,24/Apr/2018:18:00:15,/cgi-bin/index.cgi,404
2,45.76.92.208,23/Apr/2018:16:37:01,/CFIDE/administrator/,404
2,123.179.14.23,24/Apr/2018:01:42:26,/cgi-bin/user/Config.cgi?.cab&action=get&category=Account.*,404
3,175.102.15.243,24/Apr/2018:10:29:33,/shared/XfinityExtension.zip%E3%80%82%E7%94%A8%E6%88%B7%E6%A0%B9,404
